Track name,Artist name,Album
Hard Time Killing Floor Blues,Skip James,
Poor Man's Blues,Bessie Smith,
"Black, Brown and White",Big Bill Broonzy,
Bourgeois Blues,Lead Belly,
Big Boss Man,Jimmy Reed,
Sixteen Tons,Tennessee Ernie Ford,
The Devil Wears a Suit and Tie,Colter Wall,
The Devil Wears a Suit and Tie,Bent Brothers,
Devil in Disguise,Marino,
Suit and Tie (Sixteen Tons),Cooper Alan,
Jolly Banker,Woody Guthrie,
Sympathy for the Devil,The Rolling Stones,
Man of Peace,Bob Dylan,
It's Money That I Love,Randy Newman,
"Hey, Little Songbird",Anais Mitchell,
Why We Build the Wall,Anais Mitchell,
God's Away on Business,Tom Waits,
Red Right Hand,Nick Cave & The Bad Seeds,
Everybody Knows,Leonard Cohen,
