Track name,Artist name,Album
The Devil Wears a Suit and Tie,Colter Wall,
Suit and Tie (Sixteen Tons),Cooper Alan,
Devil in Disguise,Marino,
Grandpa Was a Liberal,Sean Tobin,
Rich Men North of Richmond,Oliver Anthony Music,
United Health,Jesse Welles,
Payday,Jesse Welles,
Won't Fence Us In,Nick Shoulders,
Welcome to Hard Times,Charley Crockett,
Long Violent History,Tyler Childers,
Dying to Make a Living,The Local Honeys,
All American Made,Margo Price,
Me + Mine (Lamentations),American Aquarium,
Rican Beach,Hurray for the Riff Raff,
