Track name,Artist name,Album
Which Side Are You On?,Pete Seeger,
I Hate the Capitalist System,Sarah Ogan Gunning,
Coalminers,Uncle Tupelo,
Black Lung,Hazel Dickens,
Coal Miner's Daughter,Loretta Lynn,
Pretty Boy Floyd,Woody Guthrie,
Deportee (Plane Wreck at Los Gatos),Woody Guthrie,
The Preacher and the Slave,Utah Phillips,
All Used Up,Utah Phillips,
If We Make It Through December,Merle Haggard,
9 to 5,Dolly Parton,
Take This Job and Shove It,Johnny Paycheck,
Forty Hour Week (For a Livin'),Alabama,
Welfare Music,The Bottle Rockets,
Below,Slaid Cleaves,
Enough Rope,Chris Knight,
We Can't Make It Here,James McMurtry,
Puttin' People on the Moon,Drive-By Truckers,
Jack of All Trades,Bruce Springsteen,
Death to My Hometown,Bruce Springsteen,
The Devil Put the Coal in the Ground,Steve Earle,
