Track name,Artist name,Album
Backlash Blues,Nina Simone,
Whitey on the Moon,Gil Scott-Heron,
Inner City Blues (Make Me Wanna Holler),Marvin Gaye,
"(Don't Worry) If There's a Hell Below, We're All Going to Go",Curtis Mayfield,
Ball of Confusion (That's What the World Is Today),The Temptations,
You Haven't Done Nothin',Stevie Wonder,
Babylon System,Bob Marley & The Wailers,
Downpressor Man,Peter Tosh,
Inglan Is a Bitch,Linton Kwesi Johnson,
International Thief Thief (I.T.T.),Fela Kuti,
Tiburon,Ruben Blades,
Preguntas por Puerto Montt,Victor Jara,
Latinoamerica,Calle 13,
