Track name,Artist name,Album
Ghost Town,The Specials,
The Eton Rifles,The Jam,
Clampdown,The Clash,
Natural's Not in It,Gang of Four,
Shipbuilding,Elvis Costello,
Tramp the Dirt Down,Elvis Costello,
Ideology,Billy Bragg,
Between the Wars,Billy Bragg,
Ordinary Man,Christy Moore,
Workers Song,Dick Gaughan,
The Ballad of Accounting,Ewan MacColl,
Arrogance Ignorance and Greed,Show of Hands,
Celtic Tiger,Damien Dempsey,
Common People,Pulp,
A Design for Life,Manic Street Preachers,
Electioneering,Radiohead,
Jobseeker,Sleaford Mods,
Mother,IDLES,
Seventeen Going Under,Sam Fender,
"Sick, Sad World",Bob Vylan,
There Is Power in a Union,Billy Bragg,
