Track name,Artist name,Album
Black Waters,Jean Ritchie,
Dark as a Dungeon,Merle Travis,
Sixteen Tons,Tennessee Ernie Ford,
Coal Tattoo,Billy Edd Wheeler,
The L&N Don't Stop Here Anymore,Jean Ritchie,
Which Side Are You On?,Pete Seeger,
I Hate the Capitalist System,Sarah Ogan Gunning,
Black Lung,Hazel Dickens,
Coal Miner's Daughter,Loretta Lynn,
Dying to Make a Living,The Local Honeys,
Below,Slaid Cleaves,
Coalminers,Uncle Tupelo,
Paradise,John Prine,
The Devil Put the Coal in the Ground,Steve Earle,
It's About Blood,Steve Earle,
The Mountain,Steve Earle,
Do Re Mi,Woody Guthrie,
Vigilante Man,Woody Guthrie,
Deportee (Plane Wreck at Los Gatos),Woody Guthrie,
Burn On,Randy Newman,
Don't Go Near the Water,Johnny Cash,
Mercy Mercy Me (The Ecology),Marvin Gaye,
We Almost Lost Detroit,Gil Scott-Heron,
New World Water,Mos Def,
Blue Sky Mine,Midnight Oil,
Vampire Blues,Neil Young,
The Monsanto Years,Neil Young,
Won't Fence Us In,Nick Shoulders,
Rican Beach,Hurray for the Riff Raff,
Latinoamerica,Calle 13,
Before the Deluge,Jackson Browne,
Roll On Columbia,Woody Guthrie,
