Track name,Artist name,Album
Hard Time Killing Floor Blues,Skip James,
Poor Man's Blues,Bessie Smith,
"Black, Brown and White",Big Bill Broonzy,
Bourgeois Blues,Lead Belly,
Big Boss Man,Jimmy Reed,
Sixteen Tons,Tennessee Ernie Ford,
The Devil Wears a Suit and Tie,Colter Wall,
The Devil Wears a Suit and Tie,Bent Brothers,
Devil in Disguise,Marino,
Suit and Tie (Sixteen Tons),Cooper Alan,
Jolly Banker,Woody Guthrie,
Man of Peace,Bob Dylan,
It's Money That I Love,Randy Newman,
"Hey, Little Songbird",Anais Mitchell,
Why We Build the Wall,Anais Mitchell,
God's Away on Business,Tom Waits,
Red Right Hand,Nick Cave & The Bad Seeds,
Everybody Knows,Leonard Cohen,
Pretty Boy Floyd,Woody Guthrie,
How Can a Poor Man Stand Such Times and Live?,Blind Alfred Reed,
Paradise,John Prine,
Masters of War,Bob Dylan,
The Law Is for Protection of the People,Kris Kristofferson,
"Love Me, I'm a Liberal",Phil Ochs,
Grandpa Was a Liberal,Sean Tobin,
Snake Oil,Steve Earle,
"Lawyers, Guns and Money",Warren Zevon,
Wasteland of the Free,Iris DeMent,
Man Without a Soul,Lucinda Williams,
We Can't Make It Here,James McMurtry,
Lives in the Balance,Jackson Browne,
Call It Democracy,Bruce Cockburn,
Which Side Are You On?,Pete Seeger,
I Hate the Capitalist System,Sarah Ogan Gunning,
Coalminers,Uncle Tupelo,
Black Lung,Hazel Dickens,
Coal Miner's Daughter,Loretta Lynn,
If We Make It Through December,Merle Haggard,
All Used Up,Utah Phillips,
The Ballad of Accounting,Ewan MacColl,
Workers Song,Dick Gaughan,
Ordinary Man,Christy Moore,
Arrogance Ignorance and Greed,Show of Hands,
Celtic Tiger,Damien Dempsey,
Ideology,Billy Bragg,
9 to 5,Dolly Parton,
Take This Job and Shove It,Johnny Paycheck,
Forty Hour Week (For a Livin'),Alabama,
The Devil Put the Coal in the Ground,Steve Earle,
Long Violent History,Tyler Childers,
Dying to Make a Living,The Local Honeys,
Below,Slaid Cleaves,
Enough Rope,Chris Knight,
Me + Mine (Lamentations),American Aquarium,
Welfare Music,The Bottle Rockets,
Puttin' People on the Moon,Drive-By Truckers,
Jack of All Trades,Bruce Springsteen,
Death to My Hometown,Bruce Springsteen,
At the Purchaser's Option,Rhiannon Giddens,
Barbados,Our Native Daughters,
Rican Beach,Hurray for the Riff Raff,
The Monsanto Years,Neil Young,
All American Made,Margo Price,
Welcome to Hard Times,Charley Crockett,
Won't Fence Us In,Nick Shoulders,
United Health,Jesse Welles,
Rich Men North of Richmond,Oliver Anthony,
Backlash Blues,Nina Simone,
Whitey on the Moon,Gil Scott-Heron,
Inner City Blues (Make Me Wanna Holler),Marvin Gaye,
"(Don't Worry) If There's a Hell Below, We're All Going to Go",Curtis Mayfield,
Ball of Confusion (That's What the World Is Today),The Temptations,
You Haven't Done Nothin',Stevie Wonder,
Babylon System,Bob Marley & The Wailers,
Downpressor Man,Peter Tosh,
Inglan Is a Bitch,Linton Kwesi Johnson,
International Thief Thief (I.T.T.),Fela Kuti,
Tiburon,Ruben Blades,
Preguntas por Puerto Montt,Victor Jara,
Latinoamerica,Calle 13,
Ghost Town,The Specials,
Natural's Not in It,Gang of Four,
Common People,Pulp,
Cocaine Socialism,Pulp,
A Design for Life,Manic Street Preachers,
Electioneering,Radiohead,
The Eton Rifles,The Jam,
Clampdown,The Clash,
Tramp the Dirt Down,Elvis Costello,
Seventeen Going Under,Sam Fender,
Mother,IDLES,
Jobseeker,Sleaford Mods,
"Sick, Sad World",Bob Vylan,
Shut Em Down,Public Enemy,
Reagan,Killer Mike,
JU$T,Run The Jewels,
5 Million Ways to Kill a CEO,The Coup,
Bleed for Me,Dead Kennedys,
Turncoat,Anti-Flag,
Franco Un-American,NOFX,
Prayer of the Refugee,Rise Against,
Prison Song,System of a Down,
Fortunate Son,Creedence Clearwater Revival,
Won't Get Fooled Again,The Who,
War Pigs,Black Sabbath,
Sleep Now in the Fire,Rage Against the Machine,
Money Becomes King,Tom Petty & The Heartbreakers,
Joe,Tom Petty & The Heartbreakers,
The Fabled City,The Nightwatchman,
Your Next Bold Move,Ani DiFranco,
The Preacher and the Slave,Utah Phillips,
Waist Deep in the Big Muddy,Pete Seeger,
Deportee (Plane Wreck at Los Gatos),Woody Guthrie,
There Is Power in a Union,Billy Bragg,
Christmas in Washington,Steve Earle,
