Track name,Artist name,Album
Hard Time Killing Floor Blues,Skip James,
Poor Man's Blues,Bessie Smith,
Big Boss Man,Jimmy Reed,
Sixteen Tons,Tennessee Ernie Ford,
The Devil Wears a Suit and Tie,Colter Wall,
Devil in Disguise,Marino,
Suit and Tie (Sixteen Tons),Cooper Alan,
Jolly Banker,Woody Guthrie,
"Hey, Little Songbird",Anais Mitchell,
Why We Build the Wall,Anais Mitchell,
God's Away on Business,Tom Waits,
Red Right Hand,Nick Cave & The Bad Seeds,
Everybody Knows,Leonard Cohen,
Pretty Boy Floyd,Woody Guthrie,
Paradise,John Prine,
Masters of War,Bob Dylan,
"Love Me, I'm a Liberal",Phil Ochs,
Grandpa Was a Liberal,Sean Tobin,
Wasteland of the Free,Iris DeMent,
Man Without a Soul,Lucinda Williams,
We Can't Make It Here,James McMurtry,
Which Side Are You On?,Pete Seeger,
I Hate the Capitalist System,Sarah Ogan Gunning,
Black Lung,Hazel Dickens,
If We Make It Through December,Merle Haggard,
Workers Song,Dick Gaughan,
Ordinary Man,Christy Moore,
9 to 5,Dolly Parton,
Take This Job and Shove It,Johnny Paycheck,
The Devil Put the Coal in the Ground,Steve Earle,
Jack of All Trades,Bruce Springsteen,
Death to My Hometown,Bruce Springsteen,
At the Purchaser's Option,Rhiannon Giddens,
Welcome to Hard Times,Charley Crockett,
United Health,Jesse Welles,
Whitey on the Moon,Gil Scott-Heron,
Inner City Blues (Make Me Wanna Holler),Marvin Gaye,
"(Don't Worry) If There's a Hell Below, We're All Going to Go",Curtis Mayfield,
You Haven't Done Nothin',Stevie Wonder,
Babylon System,Bob Marley & The Wailers,
Downpressor Man,Peter Tosh,
International Thief Thief (I.T.T.),Fela Kuti,
Ghost Town,The Specials,
Common People,Pulp,
The Eton Rifles,The Jam,
Clampdown,The Clash,
Seventeen Going Under,Sam Fender,
Shut Em Down,Public Enemy,
Reagan,Killer Mike,
JU$T,Run The Jewels,
5 Million Ways to Kill a CEO,The Coup,
Fortunate Son,Creedence Clearwater Revival,
Won't Get Fooled Again,The Who,
War Pigs,Black Sabbath,
Sleep Now in the Fire,Rage Against the Machine,
Deportee (Plane Wreck at Los Gatos),Woody Guthrie,
There Is Power in a Union,Billy Bragg,
Christmas in Washington,Steve Earle,
