Track name,Artist name,Album
Bayou By You,Paul Cauthen,
Texas Sun,Leon Bridges,
Magnolia,JJ Cale,
I'm a King Bee,Slim Harpo,
Polk Salad Annie,Tony Joe White,
Ode to Billie Joe,Bobbie Gentry,
Fire on the Bayou,The Meters,
Take Me to the River,Al Green,
(Sittin' On) The Dock of the Bay,Otis Redding,
I Must Be in a Good Place Now,Bobby Charles,
Green River,Creedence Clearwater Revival,
Black Water,The Doobie Brothers,
Blue Sky,The Allman Brothers Band,
Sugar Magnolia,Grateful Dead,
Sweet Thing,Van Morrison,
Mendocino,Sir Douglas Quintet,
Spanish Pipedream,John Prine,
If I Had a Boat,Lyle Lovett,
Feelin' Good Again,Robert Earl Keen,
Telephone Road,Rodney Crowell,
Beaumont,Hayes Carll,
Lake Charles,Lucinda Williams,
Trinity River,Charley Crockett,
Hurricane Party,James McMurtry,
The Bird Hunters,Turnpike Troubadours,
Lady May,Tyler Childers,
West Virginia Waltz,Sierra Ferrell,
Shine On Rainy Day,Brent Cobb,
Biloxi,Hiss Golden Messenger,
Last of My Kind,Jason Isbell and the 400 Unit,
Fire,Waxahatchee,
Humbug Mountain Song,Fruit Bats,
Alaska,Maggie Rogers,
Dead of Night,Orville Peck,
Holocene,Bon Iver,
"Oh, What a World",Kacey Musgraves,
Buffalo,Hurray for the Riff Raff,
Lochloosa,JJ Grey & Mofro,
All I Can Do Is Write About It,Lynyrd Skynyrd,
